cenarios,situacao,aventura,OpcaoA,OpcaoB,Probabilidade de sucesso A,Probabilidade de sucesso B,Sucesso A,Sucesso B,Fracasso A,Fracasso B
Cidade,11,Voce estava andando pela cidade ate que encontra uma pista o que voce faz,Vai atras da pista,Ele nao vai atras da pista,84,80,Voce encontrou uma digital na pista que você foi atrás com isso voce comecou a investigar essa digital.,Essa pista era fake você desconfiado nao aceita ver essa pista e se livra de uma sugestao errada.,Voce acaba encontrando uma boa pista sobre o paradeiro do assasino mas e pega pelos capangas dele,Voce nunca encontrou o paradeiro do assasino e acabou envelhecendo
Cidade,12,Voce esta cansado e encontra uma casa abandonada o que voce faz,Voce entra na casa para descansar,Voce prefere nao entrar na casa,95,90,Voce acaba descansando muito bem e renova suas energias para os proximos dias,Andando um pouco mais voce encontra um colchao novo e dorme muito bem,Voce acorda de madrugada cercado de aranhas e o pior acontece...,Voce dorme na rua e acaba sendo roubado perdendo tudo que voce tinha
Cidade,13,"Enquanto estava investigando sobre a morte de sua irma, uma pessoa aparece e oferece sua ajuda, ela diz que tem uma pista para ele",Aceitar a ajuda da mulher,Recusar a ajuda da mulher,85,77,A mulher oferece uma pista muito valiosa ajudando em sua busca,Você se deu bem pois a mulher na verdade uma capanga disfarcada,A mulher na verdade era uma capanga do assasino ,A mulher tinha uma pista muito boa sobre o assasino mas voce desconfiou dela e sua escolha fez com que voce nao encontrasse o paradeirto do assasino
Cidade,14,Enquanto estava tomando cafe encontrei um capanga do assasino o que devo fazer,Seguir ele,Ir falar com ele,70,88,Ele levou voce para uma das bases do assasino com isso voce descobriu muita coisa,Ele nao desconfiou que você era o cara em busca da vingança e voçê passou a perna nele,Ele acaba descobrindo que voce segiu ele e entao ele chama ajuda para te pegar,Ele fica desconfiado de voce falar com ele entao ele decide pedir uma ajuda para seus colegas
Cidade,15,Estava com fome e encontro um lugar para comer entao ,Peco comida para o atendenter,Tento roubar uma comida,95,80,A atendente foi muito gentil e deu uma coxinha para voce matar a sua fome,Voce consegue roubar um pastel e sua fome vai embora,O atendente recusa a sua oderta e voce fica bravo e parte para cima do atendente e acaba sendo preso,Voce e pego roubando a comida e vai preso
Floresta,16,"Depois de passar pela cidade Niko recebe uma dica enigmatica sobre o paradeiro do assassino, levando-o a floresta",Investigar sozinho,Buscar a ajuda de um xama local,88,90,Niko descobre pistas cruciais sobre o paradeiro do assassino levando ele a chegar mais perto de sua viganca,O xama revela informacoes importantes atraves de uma visao.,"O personagem se perde na floresta, perdendo as pistas.","O xama nao consegue ajudar, deixando o personagem desamparado."
Floresta,17,"Enquanto buscava respostas sobre a morte da irma, Niko e desafiado por bandidos da floresta, testando sua determinacao.",Enfrentar o desafio diretamente,Procurar uma solucao alternativa,73,78,"O personagem supera os desafios da floresta, ganhando respeito e sabedoria.",Encontra um atalho atraves de um conhecido segredo da floresta.,"O personagem falha nos desafios, perdendo tempo valioso.","Encontro casual com um grupo de aventureiros oferece uma rota alternativa, mas arriscada."
Floresta,18,"Uma criatura mistica, ferida em uma batalha com o assassino, cruza o caminho do personagem, buscando vinganca.",Enfrentar o senhor mistico,Tentar conversar com o senhor,89,82,"O personagem forma uma alianca com uma criatura da floresta, que o ajuda a encontrar o assassino.",O senhor mistico te ajuda a encontra o assasino,"A criatura se volta contra o personagem, dificultando sua busca.",O senhor se recusa a conversar com voce e acaba te deixando muito ferido
Floresta,19,Voce encontra o templo aonde o assasino fica e voce tem uma decisao muito complicada,Entrar em silencio,Entrar fazendo barulho,93,91,Voce consegue se infiltra e encontar o seu alvo final,Voce enquanto estava fazendo seu barulho consegue derrotar quase todos os capangas e encontra seu alvo final,Eles viram voce e te prenderam para toda a vida,Voce nao conseguiu dar conta de matar todos os bandidos e acabou sendo preso
Floresta,20,Apos entrar no templo e encontar o alvo passa um filme em sua cabeca e voce decide,Matar ele sem piedade,Falar quanto você sente por o que ele fez e nao matar ele,90,88,Voce acaba de completar sua missao se sentindo uma pessoa realizada por cumprir aquilo que prometeu,Você percebe que a vingança não ia adiantar muita coisa pois não ia trazer sua irma novamente a vida,Ele acaba pegando a arma de voce e acaba deixando voce gravemente ferrido,Ele nao liga para o que voce disse entao ele pega uma faca que estava ali perto e deixa voce muito ferrido
